"file","date","time","community","replicate","measure_point","Tet","Pca","Col","Ble","hours"
"sample_0001","2019-01-25",10,"Tet",1,"t9",3141.362140265,0,0,0,264
"sample_0002","2019-01-25",10,"Tet",2,"t9",4096.9420766872,0,0,0,264
"sample_0003","2019-01-25",10,"Tet",3,"t9",5036.59943173826,0,0,0,264
"sample_0004","2019-01-25",10,"Pca",1,"t9",0,81.8634483922694,0,0,264
"sample_0005","2019-01-25",10,"Pca",2,"t9",0,112.133232058964,0,0,264
"sample_0006","2019-01-25",10,"Pca",3,"t9",0,89.1777083860804,0,0,264
"sample_0007","2019-01-25",10,"Col",1,"t9",0,0,1467.01550060483,0,264
"sample_0008","2019-01-25",10,"Col",2,"t9",0,0,1485.63873181984,0,264
"sample_0009","2019-01-25",10,"Col",3,"t9",0,0,1297.32466874842,0,264
"sample_0010","2019-01-25",10,"Ble",1,"t9",0,0,0,190.733395223226,264
"sample_0011","2019-01-25",10,"Ble",2,"t9",0,0,0,142.740596956143,264
"sample_0012","2019-01-25",10,"Ble",3,"t9",0,0,0,179.311896925198,264
"sample_0013","2019-01-25",10,"Ble_Tet",1,"t9",1.35032492193434,0,0,137.789405575717,264
"sample_0014","2019-01-25",10,"Ble_Tet",2,"t9",0,0,0,131.206571581287,264
"sample_0015","2019-01-25",10,"Ble_Tet",3,"t9",7.42678707063887,0,0,139.98368357386,264
"sample_0016","2019-01-25",10,"Ble_Pca",1,"t9",0,108.6448926773,0,20.1423467521872,264
"sample_0017","2019-01-25",10,"Ble_Pca",2,"t9",0,185.613413227558,0,0,264
"sample_0018","2019-01-25",10,"Ble_Pca",3,"t9",0,221.340760120404,0,31.7888992038709,264
"sample_0019","2019-01-25",10,"Ble_Col",1,"t9",0,0,2125.46769066307,34.8833938166371,264
"sample_0020","2019-01-25",10,"Ble_Col",2,"t9",0,0,2127.38065096914,33.9269136636003,264
"sample_0021","2019-01-25",10,"Ble_Col",3,"t9",0,0,2054.29431456944,29.3695670520719,264
"sample_0022","2019-01-25",10,"Tet_Ble_Pca",1,"t9",1.85669676765972,39.4970039665795,0,65.940867021127,264
"sample_0023","2019-01-25",10,"Tet_Ble_Pca",2,"t9",3.37581230483585,60.3145131797339,0,60.0331954876642,264
